"Nome","Denominação","Pastor","Endereço","Bairro","Cidade","Estado","Telefone","Email","Latitude","Longitude","Observações","Cadastrado em","Cadastrado por"
"Assembleiade Deus  montes das Oliveiras","","","Rua Capelinha, 266","Cidade Parque Brasília","Guarulhos","SP","","montedasoliveiras@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Assembleiade Deus  montes das Oliveiras","","","Rua Capelinha, 266","Cidade Parque Brasília","Guarulhos","SP","","montedasoliveiras@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Igreja Hedeiros do Amor  de Deus","","","Rua Francisco Badaró, 266","Cidade Parque Alvorada","Guarulhos","SP","","herdeirosde.Deus.@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Asssembleia de Deus","Manancial do Avivamento","","Rua Santo da Divisa , 178","Parque Alvorada","Guarulhos","SP","11947289047","assembleiamanacial@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Asssembleia de Deus","Manancial do Avivamento","","Rua Santo da Divisa , 178","Parque Alvorada","Guarulhos","SP","11947289047","assembleiamanacial@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Igreja missão Profética luz para as Nações","","","Av. Sabtana do mundau , 18","Parque Alvorada","Guarulhos","SP","","missaoprofeticaluz@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Igeja Batista  Filadélfia renovada","Batista","","Av. Santana do Mundai, 90","Parque Alvorada","Guarulhos","SP","","igrejabatistafiladlfia@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Igreja Jesus Cristo e a Coluna de Fogo","","","Av. Santana do mundau, 246","Parque Alvorada","Guarulhos","SP","","jesuseacolunadefogo@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Ass","Ministério Restauração dos Vasos","","Av. Sabtana do mundau , 296","Parque Alvorada","Guarulhos","SP","","restauracaodosvasos@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Belem","","Av. Santana  do mundau, 720","Parque Alvorada","Guarulhos","SP","","assembleiadedejs@gmai.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Igreja Jesus Cristo e o caminho a verdade e a vida","Ministério alvorada","","Rua Santana do mundai , 1152","Parque Alvorada","Guarulhos","SP","","jesusverdadeeavida@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Igreja Evangélica de Jesus Cristo","","","Rua : Santana do mundai , 1175","Parque Alvorada","Guarulhos","SP","","igjjc@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Casa de Oração","","Rua: José da Lage , 1568","Parque Alvorada","Guarulhos","SP","","casadeoracao@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Adsa","","Rua: Medina , 130","Parque Alvorad","Guarulhos","SP","","Adsa@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Igreja Poder da Palavra","Poder da palavra","","Rua: Jacinto, 347","Parque Alvorada","Guarulhos","SP","","poderdapalavra@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"Comunidade do Povo de Deus Atalaia","CNDB","","Rua : Jacinto, 239","Parque Alvorada","GUARULHOS","SP","","comunidadecndb@gmail.com","-23.4538","-46.5333","","22/07/2026","Auto:Fernando -Zona 185"
"I maior amor","","","Av ítalo brasileiro piva, 98","Picanço","Guarulhos","SP","","","-23.4538","-46.5333","","17/07/2026","Auto:Silvio - Zona 278"
"Ministério aliança","Ministério aliança","","Muribeca, 193","Pimentas","Guarulhos","SP","11","ministerioalianca@gmail.com","-23.4538","-46.5333","","17/07/2026","Auto:Fernando -Zona 185"
"Igreja","Igreja Pentecostal Casa do Senhor Jesus","","Rua Edson de Souza , 212","","","SP","","","-23.4538","-46.5333","","14/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Batista em vila valeria","","Rua Adalberto Junho , 2","Jd Valéria","Guarulhos","SP","","","-23.4538","-46.5333","Culto começa às 19hs","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia de Deus Reino de Deus","","Av. Rosa Molina Pannocchia, 444","Jd Valéria","Guarulhos","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia de Deus Reino de Deus","","Av. Rosa Molina Pannocchia, 444","Jd Valéria","Guarulhos","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia de Deus Reino de Deus","","Av. Rosa Molina Pannocchia, 444","Jd Valéria","Guarulhos","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Congregação Cristã no Brasil","","Rua Bandeira Paulista , 146","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia de Deus Madureira","","São Sebastião do Alto, 170","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Lâmpada para os meus pés e luz para o meu caminho e a tua palavra","","Rua Cachoeira 2278","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Lâmpada para os meus pés e luz para o meu caminho é a tua palavra","","Rua Cachoeira 2278","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Comunidade de Cristo","","Angra dos Reis , 58","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia de Deus Ministério Moreira","Pr Denis","Av Alexandre Grandisoli, 161","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","3 poderes","Pr Fernando","Rua Helena Machado dos Santos , 68","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Pentecostal templo de adoração","","Rua São Pedro da Aldeia, 30","","","SP","","","-23.4538","-46.5333","Culto Domingo de Manhã","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia de Deus da missao","","Avenida Benjamin Harris Hunnicutt, 186","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Assembleia Madureira","","Rua Abata , 12","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Somos Morada","","Rua Edson de Souza , 943","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Marchando para a glória","","Rua Edson de Souza , 601","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Aliança com Deus","","Rua Edson de Souza , 417","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Pentecostal Divino Jesus","","Av Ítalo Brasileiro Piva , 199","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Yeshua Churc","","Timóteo Penteado , 2280","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Yeshua Churc","","Timóteo Penteado , 2280","","","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"Igreja","Maior Amor","","Av. Ítalo Brasileiro Piva, 98","Picanço","Guarulhos","SP","","","-23.4538","-46.5333","Culto aos domingos as 18hs","12/07/2026","Auto:Jefferson - Zona 393"
"Assembleia de Deus Belém","","","Rua Cachoeira , 365","Picanço","Guarulhos","SP","","","-23.4538","-46.5333","","12/07/2026","Auto:Jefferson - Zona 393"
"teste","tesdte","tes","Rua Lázaro de Almeida Campos, 805","Parque Mikail","Guarulhos","SP","","","-23.4538","-46.5333","","07/07/2026","Autocadastro"
"I evangelica monte de adoração","Pentecostal","","Alameda Yaya , 640","Vila ayda","Guarulhos","SP","","","-23.4538","-46.5333","","06/07/2026","Auto:Silvio - Zona 278"
"IDE comunidade","Pentecostal","","Alameda Yaya , 1159","Vila ayda","Guarulhos","SP","","ssilvio1912@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Silvio - Zona 278"
"Vida e luz","","","Cachoeira , 1993","Rosa de França","Guarulhos","SP","","vida@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Vida e luz","","","Cachoeira , 1993","Rosa de França","Guarulhos","SP","","vida@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Ceifeiros de cristo","Pentecostal","","Reinaldo Cesar de Oliveira , 286","Rosa de França","","SP","","ceiwiro@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Ceifeiros de cristo","Pentecostal","","Reinaldo Cesar de Oliveira , 286","Rosa de França","","SP","","ceiwiro@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Crista City","","","Rua prefeito rinaldo poli, 64","Jardim City","Guarulhos","SP","","city@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Crista City","","","Rua prefeito rinaldo poli, 64","Jardim City","Guarulhos","SP","","city@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Missão betel","","","Benjamim Harris hunicutt , 96","Vila Rio de Janeiro","Guarulhos","SP","","missao@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Missão betel","","","Benjamim Harris hunicutt , 96","Vila Rio de Janeiro","Guarulhos","SP","","missao@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus","","","Taguai, 173","Vila Rio de Janeiro","Guarulhos","SP","","assembleia@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus","","","Taguai, 173","Vila Rio de Janeiro","Guarulhos","SP","","assembleia@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Yescha church","","Sandro","Timóteo penteado , 2280","Vila hulda","Guarulhos","SP","","yechua@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Nosso lugar","Churchu","","Timóteo penteado , 885","Vila hulda","Guarulhos","SP","","nosso@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Relatando nações","Pentecostal","Rosana","Natingyi, 102","Parque Santo antonio","Guarulhos","SP","","resgatando@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Relatando nações","Pentecostal","Rosana","Natingyi, 102","Parque Santo antonio","Guarulhos","SP","","resgatando@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Almas restauradas","Pentecostal","","Rua Edson , 132","Parque Santo antonio","Guarulhos","SP","","almas@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Almas restauradas","Pentecostal","","Rua Edson , 132","Parque Santo antonio","Guarulhos","SP","","almas@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus","","","Avenida benjamim Harris hunicutt, 1566","Vila Rio de Janeiro","Guarulhos","SP","","assembleia@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus","","","Avenida benjamim Harris hunicutt, 1566","Vila Rio de Janeiro","Guarulhos","SP","","assembleia@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Restauração divina","","","Av. Rosa molina pannocia, 330","Vila Rio de Janeiro","Guarulhos","SP","","restauracao@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Restauração divina","","","Av. Rosa molina pannocia, 330","Vila Rio de Janeiro","Guarulhos","SP","","restauracao@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus","Madureira","","Rua sao Carlos do ivai, 102","Vila Rio de Janeiro","Guarulhos","SP","","Madureira@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus","Madureira","","Rua sao Carlos do ivai, 102","Vila Rio de Janeiro","Guarulhos","SP","","Madureira@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Aliança com cristo","","","Itauna do Sul , 53","Vila Rio de Janeiro","Guarulhos","SP","","alianca@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Comunidade em Cristo","Pentecostal","","Avenida benjamim Harris hunicutt, 524","Vila Rio de Janeiro","Guarulhos","SP","","comunidade@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Comunidade em Cristo","Pentecostal","","Avenida benjamim Harris hunicutt, 524","Vila Rio de Janeiro","Guarulhos","SP","","comunidade@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Comunidade em Cristo","Pentecostal","","Avenida benjamim Harris hunicutt, 524","Vila Rio de Janeiro","Guarulhos","SP","","comunidade@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
"Somos filhos","Schurch","","Rua sítio novo Goiás , 294","Vila Rio de Janeiro","Guarulhos","SP","","somosfilhos@gmail.com","-23.4538","-46.5333","","06/07/2026","Auto:Pr. Bernard - Zona 176"
